ID,Quote,Author,Tags,URL,Timestamp
1,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.132755
2,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.133755
3,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"humor, religion",http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.147321
4,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,humor,http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.155655
5,“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"chocolate, food, humor",http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.163716
6,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,humor,http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.171229
7,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor,http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.179032
8,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"humor, open-mind, thinking",http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.187290
9,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"humor, philosophy",http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.196342
10,“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"humor, insanity, lies, lying, self-indulgence, truth",http://quotes.toscrape.com/tag/humor/,2025-10-21T10:31:41.205362
11,“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"humor, sinister",http://quotes.toscrape.com/tag/humor/page/2/,2025-10-21T10:31:42.041518
12,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"humor, love, romantic, women",http://quotes.toscrape.com/tag/humor/page/2/,2025-10-21T10:31:42.062389
